i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.bankEnergy 3.14058e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.activeEnergy 1.77911e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.burstEnergy 2.31242e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.refreshEnergy 2.73143e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.bankPower 0.00141331W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.activePower 8.00627e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.burstPower 0.000104063W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.refreshPower 0.00122919W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.bandwidth 608.681MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.dataCycles 1525872
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.powerCycles 64175327
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.utilization 0.0237766
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.reads 287026
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.writes 94442
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.activates 163596
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank4.precharges 163596
